X,Y
0.000707107,0.000707107
0.00141421,0.00141421
0.00212132,0.00212132
0.00282843,0.00282843
0.00353553,0.00353553
0.00424264,0.00424264
0.00494975,0.00494975
0.00565685,0.00565685
0.00636396,0.00636396
0.00707107,0.00707107
0.00777817,0.00777817
0.00848528,0.00848528
0.00919239,0.00919239
0.00989949,0.00989949
0.0106066,0.0106066
0.0113137,0.0113137
0.0120208,0.0120208
0.0127279,0.0127279
0.013435,0.013435
0.0141421,0.0141421
0.0148492,0.0148492
0.0155563,0.0155563
0.0162635,0.0162635
0.0169706,0.0169706
0.0176777,0.0176777
0.0183848,0.0183848
0.0190919,0.0190919
0.019799,0.019799
0.0205061,0.0205061
0.0212132,0.0212132
0.0219203,0.0219203
0.0226274,0.0226274
0.0233345,0.0233345
0.0240416,0.0240416
0.0247487,0.0247487
0.0254558,0.0254558
0.026163,0.026163
0.0268701,0.0268701
0.0275772,0.0275772
0.0282843,0.0282843
0.0289914,0.0289914
0.0296985,0.0296985
0.0304056,0.0304056
0.0311127,0.0311127
0.0318198,0.0318198
0.0325269,0.0325269
0.033234,0.033234
0.0339411,0.0339411
0.0346482,0.0346482
0.0353553,0.0353553
0.0360624,0.0360624
0.0367696,0.0367696
0.0374767,0.0374767
0.0381838,0.0381838
0.0388909,0.0388909
0.039598,0.039598
0.0403051,0.0403051
0.0410122,0.0410122
0.0417193,0.0417193
0.0424264,0.0424264
0.0431335,0.0431335
0.0438406,0.0438406
0.0445477,0.0445477
0.0452548,0.0452548
0.0459619,0.0459619
0.046669,0.046669
0.0473762,0.0473762
0.0480833,0.0480833
0.0487904,0.0487904
0.0494975,0.0494975
0.0502046,0.0502046
0.0509117,0.0509117
0.0516188,0.0516188
0.0523259,0.0523259
0.053033,0.053033
0.0537401,0.0537401
0.0544472,0.0544472
0.0551543,0.0551543
0.0558614,0.0558614
0.0565685,0.0565685
0.0572756,0.0572756
0.0579828,0.0579828
0.0586899,0.0586899
0.059397,0.059397
0.0601041,0.0601041
0.0608112,0.0608112
0.0615183,0.0615183
0.0622254,0.0622254
0.0629325,0.0629325
0.0636396,0.0636396
0.0643467,0.0643467
0.0650538,0.0650538
0.0657609,0.0657609
0.066468,0.066468
