Theta1,Theta2
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,0.158596
nan,0.158596
nan,0.252864
nan,0.252864
nan,0.320589
nan,0.320589
nan,0.376383
nan,0.376383
nan,0.424973
nan,0.424973
nan,0.468603
nan,0.468603
nan,0.508553
nan,0.508553
nan,0.545631
nan,0.545631
nan,0.580388
nan,0.580388
nan,0.613219
nan,0.613219
nan,0.644417
nan,0.644417
nan,0.674211
nan,0.674211
nan,0.702777
nan,0.702777
nan,0.730261
nan,0.730261
nan,0.756781
nan,0.756781
nan,0.782434
nan,0.782434
nan,0.807302
nan,0.807302
nan,0.831457
nan,0.831457
nan,0.854958
nan,0.854958
nan,0.877859
nan,0.877859
nan,0.900204
nan,0.900204
nan,0.922035
nan,0.922035
nan,0.943386
nan,0.943386
nan,0.96429
nan,0.96429
nan,0.984776
nan,0.984776
nan,1.00487
nan,1.00487
nan,1.02459
nan,1.02459
nan,1.04396
nan,1.04396
nan,1.063
nan,1.063
nan,1.08173
2.96554,1.08173
nan,1.10016
2.86409,1.10016
nan,1.11831
2.79135,1.11831
nan,1.13619
2.73176,1.13619
nan,1.15382
2.68017,1.15382
nan,1.1712
2.63415,1.1712
nan,1.18834
2.59229,1.18834
nan,1.20526
2.55371,1.20526
nan,1.22196
2.51779,1.22196
nan,1.23846
2.48409,1.23846
nan,1.25476
2.4523,1.25476
nan,1.27087
2.42216,1.27087
nan,1.28679
2.39347,1.28679
nan,1.30254
2.36607,1.30254
nan,1.31812
2.33983,1.31812
nan,1.33353
2.31463,1.33353
nan,1.34878
2.2904,1.34878
nan,1.36387
2.26704,1.36387
nan,1.37882
2.24449,1.37882
nan,1.39362
2.22269,1.39362
nan,1.40828
2.2016,1.40828
nan,1.42281
2.18115,1.42281
nan,1.4372
2.16132,1.4372
nan,1.45146
2.14208,1.45146
nan,1.4656
2.12337,1.4656
nan,1.47962
2.10519,1.47962
3.01922,1.49352
2.0875,1.49352
2.93125,1.5073
2.07027,1.5073
2.87078,1.52098
2.0535,1.52098
2.82181,1.53454
2.03715,1.53454
2.77965,1.54799
2.02121,1.54799
2.74214,1.56135
2.00567,1.56135
2.70807,1.5746
1.9905,1.5746
2.67668,1.58775
1.9757,1.58775
2.64747,1.6008
1.96125,1.6008
2.62008,1.61376
1.94715,1.61376
2.59423,1.62663
1.93337,1.62663
2.56971,1.6394
1.9199,1.6394
2.54636,1.65209
1.90675,1.65209
2.52405,1.66468
1.8939,1.66468
2.50268,1.6772
1.88133,1.6772
2.48214,1.68963
1.86905,1.68963
2.46237,1.70197
1.85705,1.70197
2.44331,1.71424
1.84531,1.71424
2.42489,1.72642
1.83384,1.72642
2.40708,1.73853
1.82262,1.73853
2.38982,1.75056
1.81166,1.75056
2.37308,1.76252
1.80093,1.76252
2.35684,1.7744
1.79045,1.7744
2.34105,1.78621
1.78019,1.78621
2.32569,1.79794
1.77017,1.79794
2.31075,1.80961
1.76037,1.80961
2.2962,1.82121
1.7508,1.82121
2.28201,1.83273
1.74143,1.83273
2.26818,1.84419
1.73228,1.84419
2.25469,1.85558
1.72334,1.85558
2.24151,1.8669
1.7146,1.8669
2.22865,1.87816
1.70606,1.87816
2.21608,1.88936
1.69772,1.88936
2.2038,1.90049
1.68957,1.90049
2.19179,1.91155
1.68161,1.91155
2.18004,1.92256
1.67384,1.92256
2.16855,1.9335
1.66626,1.9335
2.15731,1.94438
1.65885,1.94438
2.1463,1.95519
1.65163,1.95519
2.13552,1.96595
1.64458,1.96595
2.12497,1.97665
1.6377,1.97665
2.11463,1.98728
1.631,1.98728
2.10451,1.99786
1.62446,1.99786
2.09458,2.00838
1.61809,2.00838
2.08486,2.01884
1.61188,2.01884
2.07533,2.02924
1.60583,2.02924
2.06599,2.03958
1.59994,2.03958
2.05683,2.04986
1.59421,2.04986
2.04785,2.06009
1.58863,2.06009
2.03905,2.07025
1.5832,2.07025
2.03042,2.08036
1.57793,2.08036
2.02195,2.09042
1.5728,2.09042
2.01364,2.10041
1.56781,2.10041
2.0055,2.11035
1.56297,2.11035
1.99751,2.12022
1.55827,2.12022
1.98967,2.13005
1.5537,2.13005
1.98199,2.13981
1.54928,2.13981
1.97445,2.14951
1.54499,2.14951
1.96705,2.15916
1.54083,2.15916
1.95979,2.16875
1.5368,2.16875
1.95267,2.17828
1.5329,2.17828
1.94569,2.18775
1.52913,2.18775
1.93883,2.19716
1.52548,2.19716
1.93211,2.20651
1.52196,2.20651
1.92552,2.2158
1.51855,2.2158
1.91905,2.22503
1.51527,2.22503
1.91271,2.2342
1.5121,2.2342
1.90648,2.2433
1.50904,2.2433
1.90038,2.25235
1.5061,2.25235
1.89439,2.26133
1.50327,2.26133
1.88852,2.27025
1.50055,2.27025
1.88276,2.2791
1.49793,2.2791
1.87712,2.28789
1.49542,2.28789
1.87158,2.29662
1.49301,2.29662
1.86615,2.30527
1.4907,2.30527
1.86083,2.31386
1.48849,2.31386
1.85561,2.32238
1.48638,2.32238
1.8505,2.33084
1.48436,2.33084
1.84549,2.33922
1.48243,2.33922
1.84058,2.34752
1.48059,2.34752
1.83577,2.35576
1.47884,2.35576
1.83105,2.36392
1.47718,2.36392
1.82643,2.37201
1.4756,2.37201
1.82191,2.38002
1.4741,2.38002
1.81748,2.38795
1.47268,2.38795
1.81314,2.3958
1.47134,2.3958
1.8089,2.40357
1.47007,2.40357
1.80474,2.41126
1.46888,2.41126
1.80068,2.41886
1.46775,2.41886
1.7967,2.42637
1.4667,2.42637
1.7928,2.4338
1.46571,2.4338
1.789,2.44114
1.46479,2.44114
1.78527,2.44838
1.46392,2.44838
1.78163,2.45554
1.46312,2.45554
1.77808,2.46259
1.46238,2.46259
1.7746,2.46955
1.46168,2.46955
1.77121,2.4764
1.46105,2.4764
1.7679,2.48316
1.46046,2.48316
1.76466,2.4898
1.45992,2.4898
1.7615,2.49634
1.45942,2.49634
1.75843,2.50277
1.45897,2.50277
1.75542,2.50909
1.45856,2.50909
1.7525,2.51529
1.45818,2.51529
1.74965,2.52137
1.45785,2.52137
1.74687,2.52733
1.45754,2.52733
1.74417,2.53317
1.45727,2.53317
1.74154,2.53888
1.45702,2.53888
1.73898,2.54446
1.4568,2.54446
1.73649,2.5499
1.45661,2.5499
1.73408,2.55521
1.45643,2.55521
1.73174,2.56038
1.45628,2.56038
1.72946,2.56541
1.45613,2.56541
1.72726,2.57029
1.45601,2.57029
1.72512,2.57503
1.45589,2.57503
1.72306,2.57961
1.45578,2.57961
1.72106,2.58404
1.45568,2.58404
1.71912,2.5883
1.45558,2.5883
1.71726,2.59241
1.45548,2.59241
1.71546,2.59635
1.45538,2.59635
1.71372,2.60012
1.45528,2.60012
1.71205,2.60372
1.45517,2.60372
1.71044,2.60714
1.45505,2.60714
1.7089,2.61039
1.45492,2.61039
1.70742,2.61346
1.45477,2.61346
1.706,2.61635
1.45461,2.61635
1.70464,2.61904
1.45444,2.61904
1.70334,2.62155
1.45424,2.62155
1.70211,2.62387
1.45401,2.62387
1.70093,2.626
1.45377,2.626
1.6998,2.62793
1.45349,2.62793
1.69874,2.62966
1.45319,2.62966
1.69773,2.63119
1.45285,2.63119
1.69677,2.63253
1.45248,2.63253
1.69587,2.63366
1.45208,2.63366
1.69502,2.63458
1.45164,2.63458
1.69423,2.6353
1.45116,2.6353
1.69348,2.63582
1.45064,2.63582
1.69278,2.63613
1.45008,2.63613
1.69212,2.63623
1.44947,2.63623
1.69152,2.63613
1.44882,2.63613
1.69095,2.63582
1.44812,2.63582
1.69043,2.6353
1.44737,2.6353
1.68995,2.63458
1.44657,2.63458
1.68951,2.63366
1.44572,2.63366
1.68911,2.63253
1.44482,2.63253
1.68874,2.63119
1.44386,2.63119
1.6884,2.62966
1.44285,2.62966
1.6881,2.62793
1.44179,2.62793
1.68783,2.626
1.44067,2.626
1.68758,2.62387
1.43949,2.62387
1.68736,2.62155
1.43825,2.62155
1.68716,2.61904
1.43695,2.61904
1.68698,2.61635
1.43559,2.61635
1.68682,2.61346
1.43417,2.61346
1.68667,2.61039
1.43269,2.61039
1.68654,2.60714
1.43115,2.60714
1.68642,2.60372
1.42954,2.60372
1.68631,2.60012
1.42787,2.60012
1.68621,2.59635
1.42614,2.59635
1.68611,2.59241
1.42433,2.59241
1.68601,2.5883
1.42247,2.5883
1.68591,2.58404
1.42054,2.58404
1.68581,2.57961
1.41854,2.57961
1.6857,2.57503
1.41647,2.57503
1.68559,2.57029
1.41433,2.57029
1.68546,2.56541
1.41213,2.56541
1.68532,2.56038
1.40986,2.56038
1.68516,2.55521
1.40751,2.55521
1.68499,2.5499
1.4051,2.5499
1.68479,2.54446
1.40261,2.54446
1.68457,2.53888
1.40006,2.53888
