X,Y,U,V
0.0375,0,-3.75,0
0.075,0,-3.75,0
0.1125,0,-3.75,0
0.15,0,-3.75,0
0.1875,0,-3.75,0
0.225,0,-3.75,0
0.2625,0,-3.75,0
0.3,0,-3.75,0
0.3375,0,-3.75,0
0.375,0,-3.75,0
0.4125,0,-3.75,0
0.45,0,-3.75,0
0.4875,0,-3.75,0
0.525,0,-3.75,0
0.5625,0,-3.75,0
0.6,0,-3.75,0
0.6375,0,-3.75,0
0.675,0,-3.75,0
0.7125,0,-3.75,0
0.75,0,-3.75,0
0.7875,0,-3.75,0
0.825,0,-3.75,0
0.8625,0,-3.75,0
0.9,0,-3.75,0
0.9375,0,-3.75,0
0.975,0,-3.75,0
1.0125,0,-3.75,0
1.05,0,-3.75,0
1.0875,0,-3.75,0
1.125,0,-3.75,0
1.1625,0,-3.75,0
1.2,0,-3.75,0
1.2375,0,-3.75,0
1.275,0,-3.75,0
1.3125,0,-3.75,0
1.35,0,-3.75,0
1.3875,0,-3.75,0
1.425,0,-3.75,0
1.4625,0,-3.75,0
1.5,0,-3.75,0
1.5375,0,-3.75,0
1.575,0,-3.75,0
1.6125,0,-3.75,0
1.65,0,-3.75,0
1.6875,0,-3.75,0
1.725,0,-3.75,0
1.7625,0,-3.75,0
1.8,0,-3.75,0
1.8375,0,-3.75,0
1.875,0,-3.75,0
1.9125,0,-3.75,0
1.95,0,-3.75,0
1.9875,0,-3.75,0
2.025,0,-3.75,0
2.0625,0,-3.75,0
2.1,0,-3.75,0
2.1375,0,-3.75,0
2.175,0,-3.75,0
2.2125,0,-3.75,0
2.25,0,-3.75,0
2.2875,0,-3.75,0
2.31942,-0.00326027,-3.19168,0.326027
2.35107,-0.00674766,-3.16519,0.348739
2.38245,-0.010476,-3.13808,0.372831
2.41355,-0.0144595,-3.1104,0.398348
2.44438,-0.0187127,-3.08226,0.425327
2.47491,-0.0232507,-3.05373,0.453799
2.50516,-0.0280886,-3.02495,0.483786
2.53512,-0.0332416,-2.99604,0.515298
2.56479,-0.0387249,-2.96715,0.548336
2.59418,-0.0445538,-2.93844,0.582885
2.62328,-0.0507429,-2.91009,0.618915
2.6521,-0.0573067,-2.88228,0.656382
2.68066,-0.064259,-2.85523,0.695221
2.70895,-0.0716124,-2.82915,0.735349
2.73699,-0.0793791,-2.80427,0.776664
2.7648,-0.0875695,-2.78081,0.819042
2.79239,-0.0961929,-2.75902,0.862341
2.81978,-0.105257,-2.73912,0.906394
2.84699,-0.114767,-2.72136,0.95102
2.87405,-0.124727,-2.70595,0.996014
2.90098,-0.135139,-2.69311,1.04116
2.92781,-0.146001,-2.68303,1.08622
2.95457,-0.157311,-2.67588,1.13095
2.98129,-0.169062,-2.67183,1.1751
3.008,-0.181245,-2.67099,1.2184
3.03474,-0.193851,-2.67347,1.26059
3.06153,-0.206865,-2.67932,1.30141
3.08841,-0.220271,-2.68858,1.34059
3.11543,-0.23405,-2.70124,1.37789
3.1426,-0.248181,-2.71727,1.41307
3.16997,-0.26264,-2.7366,1.4459
3.19756,-0.277402,-2.75913,1.47617
3.2254,-0.292438,-2.78472,1.50369
3.25354,-0.307721,-2.8132,1.5283
3.28198,-0.32322,-2.8444,1.54985
3.31076,-0.338902,-2.87811,1.56822
3.3399,-0.354735,-2.91409,1.58331
3.36942,-0.370686,-2.95209,1.59506
3.39934,-0.38672,-2.99188,1.60342
3.42967,-0.402804,-3.03317,1.60838
3.46043,-0.418903,-3.07571,1.60994
3.49162,-0.434984,-3.11921,1.60812
3.52326,-0.451014,-3.1634,1.60299
3.55534,-0.466961,-3.20803,1.59463
3.58786,-0.482792,-3.25284,1.58312
3.62084,-0.498478,-3.29756,1.56857
3.65426,-0.513989,-3.34197,1.55113
3.68812,-0.529298,-3.38585,1.53094
3.72241,-0.54438,-3.42897,1.50814
3.75712,-0.559209,-3.47116,1.48292
3.79224,-0.573763,-3.51223,1.45545
3.82776,-0.588023,-3.55203,1.42591
3.86367,-0.601968,-3.59041,1.3945
3.89994,-0.615582,-3.62727,1.3614
3.93656,-0.62885,-3.66249,1.32681
3.97352,-0.641759,-3.696,1.29093
4.0108,-0.654298,-3.72773,1.25393
4.04838,-0.666458,-3.75762,1.21601
4.08623,-0.678232,-3.78565,1.17736
4.12362,-0.689688,-3.73903,1.14556
4.16128,-0.700817,-3.7658,1.11297
4.19851,-0.711634,-3.72247,1.08163
4.23599,-0.722176,-3.748,1.05424
4.27371,-0.732433,-3.77224,1.02572
4.31103,-0.742436,-3.7324,1.0003
4.34859,-0.752197,-3.75566,0.976068
4.38637,-0.761704,-3.77779,0.950683
4.42378,-0.771004,-3.74092,0.93001
4.4614,-0.780086,-3.76227,0.908245
4.49867,-0.788957,-3.72747,0.887035
4.53616,-0.797642,-3.74803,0.8685
4.57383,-0.806129,-3.76776,0.848728
4.61118,-0.81444,-3.7352,0.831113
4.64873,-0.822581,-3.75429,0.814142
4.68645,-0.830541,-3.77262,0.795979
4.72387,-0.838355,-3.74205,0.781382
4.76147,-0.846012,-3.75985,0.765679
4.79878,-0.853514,-3.73069,0.750231
