X,Y,U,V
-10,-10,-3.6607,-0.813489
-9.5,-10,-3.65876,-0.822192
-9,-10,-3.65675,-0.831079
-8.5,-10,-3.65467,-0.840155
-8,-10,-3.65253,-0.849426
-7.5,-10,-3.65031,-0.858898
-7,-10,-3.64802,-0.868577
-6.5,-10,-3.64565,-0.878471
-6,-10,-3.6432,-0.888586
-5.5,-10,-3.64066,-0.898929
-5,-10,-3.63803,-0.909509
-4.5,-10,-3.63531,-0.920332
-4,-10,-3.63249,-0.931408
-3.5,-10,-3.62956,-0.942744
-3,-10,-3.62653,-0.95435
-2.5,-10,-3.62338,-0.966235
-2,-10,-3.62011,-0.978409
-1.5,-10,-3.61672,-0.990882
-1,-10,-3.61319,-1.00366
-0.5,-10,-3.60953,-1.01677
0,-10,-3.60571,-1.0302
0.5,-10,-3.60175,-1.04399
1,-10,-3.59762,-1.05812
1.5,-10,-3.59332,-1.07263
2,-10,-3.58884,-1.08753
2.5,-10,-3.58417,-1.10282
3,-10,-3.5793,-1.11853
3.5,-10,-3.57422,-1.13467
4,-10,-3.56891,-1.15126
4.5,-10,-3.56336,-1.16832
5,-10,-3.55756,-1.18585
5.5,-10,-3.5515,-1.2039
6,-10,-3.54515,-1.22247
6.5,-10,-3.5385,-1.24158
7,-10,-3.53153,-1.26126
7.5,-10,-3.52423,-1.28154
8,-10,-3.51656,-1.30243
8.5,-10,-3.50851,-1.32396
9,-10,-3.50005,-1.34617
9.5,-10,-3.49115,-1.36908
10,-10,-3.48179,-1.39272
10.5,-10,-3.47193,-1.41711
11,-10,-3.46154,-1.44231
11.5,-10,-3.45058,-1.46833
12,-10,-3.43901,-1.49522
12.5,-10,-3.42679,-1.52302
13,-10,-3.41387,-1.55176
13.5,-10,-3.4002,-1.58149
14,-10,-3.38573,-1.61225
14.5,-10,-3.37038,-1.64409
15,-10,-3.3541,-1.67705
15.5,-10,-3.33682,-1.71119
16,-10,-3.31844,-1.74655
16.5,-10,-3.2989,-1.78319
17,-10,-3.27809,-1.82116
17.5,-10,-3.25591,-1.86052
18,-10,-3.23225,-1.90133
18.5,-10,-3.20699,-1.94363
19,-10,-3.17999,-1.9875
19.5,-10,-3.15111,-2.03298
20,-10,-3.12019,-2.08013
20.5,-10,-3.08705,-2.129
21,-10,-3.0515,-2.17964
21.5,-10,-3.01334,-2.2321
22,-10,-2.97234,-2.28642
22.5,-10,-2.92826,-2.34261
23,-10,-2.88083,-2.40069
23.5,-10,-2.82977,-2.46067
24,-10,-2.77478,-2.52252
24.5,-10,-2.71552,-2.58621
25,-10,-2.65165,-2.65165
25.5,-10,-2.58281,-2.71875
26,-10,-2.50862,-2.78735
26.5,-10,-2.42868,-2.85727
27,-10,-2.34261,-2.92826
27.5,-10,-2.25,-3
28,-10,-2.15048,-3.07212
28.5,-10,-2.04371,-3.14416
29,-10,-1.92936,-3.2156
29.5,-10,-1.8072,-3.28581
30,-10,-1.67705,-3.3541
30.5,-10,-1.53887,-3.41971
31,-10,-1.39272,-3.48179
31.5,-10,-1.23881,-3.53947
32,-10,-1.07755,-3.59185
32.5,-10,-0.909509,-3.63803
33,-10,-0.735436,-3.67718
33.5,-10,-0.556277,-3.70851
34,-10,-0.373139,-3.73139
34.5,-10,-0.187266,-3.74532
35,-10,0,-3.75
35.5,-10,0.187266,-3.74532
36,-10,0.373139,-3.73139
36.5,-10,0.556277,-3.70851
37,-10,0.735436,-3.67718
37.5,-10,0.909509,-3.63803
38,-10,1.07755,-3.59185
38.5,-10,1.23881,-3.53947
39,-10,1.39272,-3.48179
39.5,-10,1.53887,-3.41971
-10,-9.5,-3.66913,-0.774594
-9.5,-9.5,-3.66736,-0.78292
