X,Y
7.71499,2.49204
6.13189,0.0921495
10.7018,0.969363
5.34383,1.73096
-0.110792,-1.0209
6.00493,-2.81417
10.1431,-2.88149
8.35246,-0.983731
3.11031,-0.511083
9.88776,0.908882
5.84756,-2.95303
2.44343,1.3774
7.42881,-0.282267
1.6845,2.2324
7.6094,2.31274
3.03629,1.02857
6.26628,-2.60006
8.2189,1.9612
0.738248,-2.98569
4.92649,-2.41797
7.30827,0.750366
8.05971,-0.229217
8.32959,1.50952
10.7152,-1.93224
4.39463,2.01253
5.91409,-0.601265
8.50153,-0.0479392
5.50946,1.43577
0.501648,-2.22629
8.1887,-0.345619
1.49918,2.32664
3.07303,2.02875
10.0913,1.78817
2.80211,-0.00238407
0.621875,-0.274357
5.56009,2.28994
7.71191,-0.921399
10.4533,0.586386
1.16147,-0.900798
8.13155,0.0835573
9.23178,-0.841777
8.1727,-1.77686
4.52135,-1.68049
3.74526,-2.15766
7.81769,0.512051
9.0929,1.60376
10.8755,2.48391
10.0778,2.25212
8.4857,2.33868
3.24722,-0.796734
-0.119175,1.91266
7.13665,1.04856
5.44925,-1.19956
8.53343,1.98836
5.54605,-2.48611
1.50162,-2.06018
2.60065,-1.22948
2.02729,-0.955089
3.35805,0.434769
9.09862,1.63225
1.69386,-0.957347
10.7817,-1.13569
3.24224,-1.65373
7.42862,2.20158
4.42618,-0.200623
5.86355,-0.78916
-0.953092,-2.38883
1.65449,2.18061
10.7503,0.298026
3.14338,2.83345
7.14387,-1.85811
1.94195,-0.624331
7.68919,1.41023
6.88329,1.57571
3.07582,2.98372
9.57434,0.257406
-0.478675,0.909469
2.81197,1.59852
0.781447,-2.14102
10.8726,-0.833794
4.82757,2.75615
-0.572345,-2.25475
4.9452,-1.00881
8.93521,1.23928
4.68943,-0.896513
7.30946,0.215336
1.00186,-0.256995
8.29615,-0.998463
6.8902,2.49316
1.41251,-0.234587
3.96727,-2.17951
10.7843,-2.68415
6.33428,0.810207
2.15235,0.405663
2.88414,0.186271
2.33271,-0.716975
9.60396,-2.02168
2.80693,-2.39547
8.34605,-0.855391
2.41138,-0.21407
2.64387,-2.58589
2.65975,-1.12824
4.62841,-0.45902
5.36957,1.26645
9.61191,0.22758
2.36814,1.86435
8.63943,2.94906
2.60321,1.12528
9.89907,0.551675
6.63405,-2.65887
10.5293,-2.84701
-0.799799,0.250362
8.04639,-2.75059
10.3274,2.41011
2.16033,-0.443183
10.2946,-0.96138
10.2027,2.68708
3.38645,1.08697
4.46798,-1.00165
-0.00612302,-2.17469
9.87988,0.023268
4.93152,1.04
1.93168,1.59066
0.712785,-2.88801
6.27314,2.11857
0.386284,-1.7554
0.843193,1.21201
6.6929,0.52612
2.18092,-1.25326
-0.862296,0.554683
8.13503,0.950303
1.88203,0.699866
5.50311,0.495658
2.29862,-0.209681
4.73102,2.27257
7.75763,-0.760015
5.13887,-0.757774
-0.402149,2.2225
0.976469,0.407745
0.426772,-2.70745
7.80484,1.96534
4.04822,2.95034
9.92205,0.0813394
0.506296,1.47961
7.93888,-0.722155
10.5416,-2.67373
0.00931025,1.10018
0.919828,0.0906811
7.40095,-2.93695
5.6653,-2.48786
0.283246,2.67963
-0.897105,2.97949
9.06127,-1.6884
-0.380286,-1.17029
4.01395,-1.17709
6.2828,-1.74454
6.91453,-1.59419
0.930879,-1.96115
4.90609,2.23557
1.55359,-1.76542
1.38516,0.998105
6.04526,-0.395836
1.94977,0.939528
1.85824,1.91627
3.9749,-1.98776
-0.345835,-2.78542
9.97405,1.12311
1.32068,2.57945
7.80638,-1.17216
-0.0331045,-1.13182
1.65714,0.455581
3.84743,0.0739226
3.22874,0.296251
4.45292,-0.676285
-0.931593,1.79886
9.58794,-1.54088
10.1295,-1.90653
10.6063,-2.17981
7.76035,2.31733
0.572455,-2.10538
5.33373,0.685382
6.40555,1.97533
6.8862,-0.0403256
3.75072,-2.82338
10.3571,2.2321
1.12306,-0.123934
0.771639,0.897236
8.00169,2.3846
2.61609,-1.94592
5.67944,-0.0260645
-0.802791,2.19177
3.75564,-0.146779
8.02036,-1.5298
8.81294,-2.49395
10.848,2.88826
4.77576,2.2307
5.86862,-0.263973
0,0
10,0
